grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,score_normalized,action
0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,2
0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.11649500072266981,3
0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.11649500072266981,0
0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.11649500072266981,3
0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.15904041823988749,0
0.00024414062500000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.22036988245565323,1
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00006103515625000,0.22036988245565323,3
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.23299000144533963,2
0.00024414062500000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.24373299964982600,2
0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.24373299964982600,0
0.00006103515625000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.24373299964982600,1
0.00006103515625000,0.00024414062500000,0.00006103515625000,0.00000000000000000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.26136695401116583,2
0.00000000000000000,0.00006103515625000,0.00024414062500000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00024414062500000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.26136695401116583,2
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00048828125000000,0.00006103515625000,0.29755497250179452,1
0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00048828125000000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.30647484845620920,2
0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00024414062500000,0.00000000000000000,0.00000000000000000,0.00048828125000000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.30647484845620920,1
0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00024414062500000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.31055381002007598,3
0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00006103515625000,0.00024414062500000,0.00000000000000000,0.00012207031250000,0.00048828125000000,0.00012207031250000,0.31055381002007598,2
0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00006103515625000,0.00024414062500000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00012207031250000,0.31055381002007598,0
0.00006103515625000,0.00012207031250000,0.00012207031250000,0.00024414062500000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.31441512086208029,3
0.00000000000000000,0.00006103515625000,0.00024414062500000,0.00024414062500000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.32156982095238212,2
0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.33405356229710709,1
0.00012207031250000,0.00048828125000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.33686488317832303,1
0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00048828125000000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.33686488317832303,0
0.00012207031250000,0.00048828125000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.33957108299010397,1
0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00006103515625000,0.00048828125000000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.33957108299010397,2
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00048828125000000,0.00000000000000000,0.00048828125000000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00024414062500000,0.00012207031250000,0.34713089505274169,2
0.00012207031250000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00006103515625000,0.00048828125000000,0.00024414062500000,0.00024414062500000,0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.35176495171654149,3
0.00012207031250000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00000000000000000,0.00006103515625000,0.00048828125000000,0.00048828125000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.36219771140204565,2
0.00012207031250000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00097656250000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.37627976247819744,2
0.00012207031250000,0.00006103515625000,0.00012207031250000,0.00048828125000000,0.00006103515625000,0.00097656250000000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.37627976247819744,0
0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00097656250000000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00048828125000000,0.37786195473383560,2
0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00048828125000000,0.00006103515625000,0.00097656250000000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00012207031250000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.37786195473383560,2
0.00006103515625000,0.00006103515625000,0.00000000000000000,0.00000000000000000,0.00012207031250000,0.00097656250000000,0.00006103515625000,0.00000000000000000,0.00006103515625000,0.00012207031250000,0.00012207031250000,0.00000000000000000,0.00012207031250000,0.00006103515625000,0.00006103515625000,0.00048828125000000,0.37786195473383560,2
